phrase,type
4,formal
in,formal
1,formal
microwave,formal
machine,formal
now,formal
in,formal
stock,formal
a,formal
pregnant,formal
woman,formal
delivered,formal
a,formal
healthy,formal
baby,formal
boy,formal
after,formal
she,formal
was,formal
shot,formal
leaving,formal
a,formal
church,formal
in,formal
far,formal
Northeast,formal
Dallas,formal
[aaaaa<eex>],slang
I,formal
miss,formal
[u],slang
so,formal
bad,formal
[aaaaaah<eex>],slang
I'm,formal
so,formal
happy,formal
Amazon,formal
warehouse,formal
workers,formal
injured,formal
at,formal
higher,formal
rates,formal
than,formal
rival,formal
companies,formal
study,formal
finds,formal
an,formal
oasis,formal
of,formal
happiness,formal
amidst,formal
the,formal
chaos,formal
of,formal
a,formal
city,formal
and,formal
[u],slang
don't,formal
believe,formal
me,formal
when,formal
I,formal
tell,formal
[u],slang
[hes],slang
a,formal
vampire,formal
anyone,formal
in,formal
the,formal
Oxnard,formal
Ventura,formal
area,formal
please,formal
be,formal
on,formal
the,formal
lookout,formal
for,formal
our,formal
friend,formal
anything,formal
was,formal
better,formal
than,formal
Trump,formal
[tbh<shmex>],slang
are,formal
you,formal
joining,formal
us,formal
to,formal
eliminate,formal
child,formal
labour,formal
and,formal
its,formal
worst,formal
forms,formal
as,formal
of,formal
tonight,formal
my,formal
team,formal
has,formal
sued,formal
6,formal
states,formal
to,formal
block,formal
new,formal
voter,formal
suppression,formal
laws,formal
[awww<eex>],slang
so,formal
cute,formal
be,formal
less,formal
[hyper<adj>],slang
this,formal
year,formal
Beastie,formal
Boys,formal
in,formal
concert,formal
at,formal
Glasgow,formal
Barrowlands,formal
in,formal
May,formal
1987,formal
because,formal
you're,formal
afraid,formal
to,formal
even,formal
admit,formal
you're,formal
afraid,formal
can,formal
[yal],slang
all,formal
log,formal
out,formal
I,formal
[wanna],slang
be,formal
alone,formal
right,formal
now,formal
can,formal
you,formal
guys,formal
actually,formal
[f-off<v>],slang
now,formal
cant,formal
come,formal
at,formal
people,formal
all,formal
[up-in-arms<adj>],slang
all,formal
of,formal
a,formal
sudden,formal
and,formal
think,formal
that,formal
we,formal
[aint],slang
smart,formal
enough,formal
to,formal
see,formal
through,formal
the,formal
hypocrisy,formal
Catto,formal
has,formal
been,formal
captured,formal
[caught-in-4k],slang
[certified-vaccine-freak<mwn>],slang
right,formal
here,formal
